instance,config,run,score,duration_sec,timed_out
germany_tv_input,C1_Baseline,1,922,1.148,False
germany_tv_input,C1_Baseline,2,917,1.082,False
germany_tv_input,C1_Baseline,3,932,1.098,False
germany_tv_input,C1_Baseline,4,922,1.059,False
germany_tv_input,C1_Baseline,5,920,1.044,False
germany_tv_input,C1_Baseline,6,917,1.101,False
germany_tv_input,C1_Baseline,7,920,1.128,False
germany_tv_input,C1_Baseline,8,920,1.09,False
germany_tv_input,C1_Baseline,9,917,0.989,False
germany_tv_input,C1_Baseline,10,912,1.09,False
germany_tv_input,C2_Exploitation,1,902,1.039,False
germany_tv_input,C2_Exploitation,2,922,1.076,False
germany_tv_input,C2_Exploitation,3,917,1.008,False
germany_tv_input,C2_Exploitation,4,917,1.042,False
germany_tv_input,C2_Exploitation,5,915,1.069,False
germany_tv_input,C2_Exploitation,6,917,1.194,False
germany_tv_input,C2_Exploitation,7,917,1.066,False
germany_tv_input,C2_Exploitation,8,922,0.997,False
germany_tv_input,C2_Exploitation,9,917,0.966,False
germany_tv_input,C2_Exploitation,10,907,1.043,False
germany_tv_input,C3_Exploration,1,932,1.182,False
germany_tv_input,C3_Exploration,2,920,1.178,False
germany_tv_input,C3_Exploration,3,932,1.107,False
germany_tv_input,C3_Exploration,4,917,1.162,False
germany_tv_input,C3_Exploration,5,920,1.112,False
germany_tv_input,C3_Exploration,6,932,1.061,False
germany_tv_input,C3_Exploration,7,932,1.182,False
germany_tv_input,C3_Exploration,8,917,1.526,False
germany_tv_input,C3_Exploration,9,932,1.427,False
germany_tv_input,C3_Exploration,10,922,1.281,False
germany_tv_input,C4_Balanced,1,900,1.041,False
germany_tv_input,C4_Balanced,2,917,1.337,False
germany_tv_input,C4_Balanced,3,923,1.215,False
germany_tv_input,C4_Balanced,4,920,1.167,False
germany_tv_input,C4_Balanced,5,920,1.031,False
germany_tv_input,C4_Balanced,6,922,0.93,False
germany_tv_input,C4_Balanced,7,922,0.949,False
germany_tv_input,C4_Balanced,8,922,0.93,False
germany_tv_input,C4_Balanced,9,922,0.915,False
germany_tv_input,C4_Balanced,10,920,0.917,False
germany_tv_input,C5_WidePopulation,1,910,0.777,False
germany_tv_input,C5_WidePopulation,2,915,0.831,False
germany_tv_input,C5_WidePopulation,3,914,0.909,False
germany_tv_input,C5_WidePopulation,4,917,0.752,False
germany_tv_input,C5_WidePopulation,5,917,0.799,False
germany_tv_input,C5_WidePopulation,6,910,0.84,False
germany_tv_input,C5_WidePopulation,7,932,0.766,False
germany_tv_input,C5_WidePopulation,8,917,0.758,False
germany_tv_input,C5_WidePopulation,9,932,0.885,False
germany_tv_input,C5_WidePopulation,10,922,0.747,False
kosovo_tv_input,C1_Baseline,1,1446,2.638,False
kosovo_tv_input,C1_Baseline,2,1430,3.192,False
kosovo_tv_input,C1_Baseline,3,1384,3.31,False
kosovo_tv_input,C1_Baseline,4,1467,2.919,False
kosovo_tv_input,C1_Baseline,5,1419,3.525,False
kosovo_tv_input,C1_Baseline,6,1428,3.24,False
kosovo_tv_input,C1_Baseline,7,1414,3.187,False
kosovo_tv_input,C1_Baseline,8,1444,3.264,False
kosovo_tv_input,C1_Baseline,9,1420,3.126,False
kosovo_tv_input,C1_Baseline,10,1406,3.209,False
kosovo_tv_input,C2_Exploitation,1,1359,3.324,False
kosovo_tv_input,C2_Exploitation,2,1302,3.028,False
kosovo_tv_input,C2_Exploitation,3,1369,3.13,False
kosovo_tv_input,C2_Exploitation,4,1367,3.451,False
kosovo_tv_input,C2_Exploitation,5,1386,3.725,False
kosovo_tv_input,C2_Exploitation,6,1387,3.85,False
kosovo_tv_input,C2_Exploitation,7,1366,2.918,False
kosovo_tv_input,C2_Exploitation,8,1293,2.875,False
kosovo_tv_input,C2_Exploitation,9,1366,2.979,False
kosovo_tv_input,C2_Exploitation,10,1356,3.133,False
kosovo_tv_input,C3_Exploration,1,1438,3.598,False
kosovo_tv_input,C3_Exploration,2,1425,3.791,False
kosovo_tv_input,C3_Exploration,3,1436,3.66,False
kosovo_tv_input,C3_Exploration,4,1397,3.509,False
kosovo_tv_input,C3_Exploration,5,1469,3.723,False
kosovo_tv_input,C3_Exploration,6,1422,3.815,False
kosovo_tv_input,C3_Exploration,7,1421,4.276,False
kosovo_tv_input,C3_Exploration,8,1505,4.409,False
kosovo_tv_input,C3_Exploration,9,1416,3.762,False
kosovo_tv_input,C3_Exploration,10,1450,3.712,False
kosovo_tv_input,C4_Balanced,1,1429,3.037,False
kosovo_tv_input,C4_Balanced,2,1384,2.932,False
kosovo_tv_input,C4_Balanced,3,1456,2.995,False
kosovo_tv_input,C4_Balanced,4,1462,3.115,False
kosovo_tv_input,C4_Balanced,5,1443,3.285,False
kosovo_tv_input,C4_Balanced,6,1401,3.123,False
kosovo_tv_input,C4_Balanced,7,1434,2.813,False
kosovo_tv_input,C4_Balanced,8,1423,3.288,False
kosovo_tv_input,C4_Balanced,9,1412,2.723,False
kosovo_tv_input,C4_Balanced,10,1388,2.78,False
kosovo_tv_input,C5_WidePopulation,1,1386,2.56,False
kosovo_tv_input,C5_WidePopulation,2,1412,2.453,False
kosovo_tv_input,C5_WidePopulation,3,1402,2.292,False
kosovo_tv_input,C5_WidePopulation,4,1438,2.077,False
kosovo_tv_input,C5_WidePopulation,5,1490,2.495,False
kosovo_tv_input,C5_WidePopulation,6,1476,2.316,False
kosovo_tv_input,C5_WidePopulation,7,1425,2.504,False
kosovo_tv_input,C5_WidePopulation,8,1459,2.486,False
kosovo_tv_input,C5_WidePopulation,9,1487,2.333,False
kosovo_tv_input,C5_WidePopulation,10,1416,2.503,False
netherlands_tv_input,C1_Baseline,1,1447,2.972,False
netherlands_tv_input,C1_Baseline,2,1500,3.283,False
netherlands_tv_input,C1_Baseline,3,1555,3.342,False
netherlands_tv_input,C1_Baseline,4,1502,2.918,False
netherlands_tv_input,C1_Baseline,5,1540,3.04,False
netherlands_tv_input,C1_Baseline,6,1502,3.247,False
netherlands_tv_input,C1_Baseline,7,1500,3.444,False
netherlands_tv_input,C1_Baseline,8,1535,3.346,False
netherlands_tv_input,C1_Baseline,9,1403,3.395,False
netherlands_tv_input,C1_Baseline,10,1482,2.979,False
netherlands_tv_input,C2_Exploitation,1,1468,3.064,False
netherlands_tv_input,C2_Exploitation,2,1308,2.603,False
netherlands_tv_input,C2_Exploitation,3,1487,3.273,False
netherlands_tv_input,C2_Exploitation,4,1367,2.853,False
netherlands_tv_input,C2_Exploitation,5,1559,3.034,False
netherlands_tv_input,C2_Exploitation,6,1362,3.19,False
netherlands_tv_input,C2_Exploitation,7,1464,3.167,False
netherlands_tv_input,C2_Exploitation,8,1482,3.272,False
netherlands_tv_input,C2_Exploitation,9,1401,3.052,False
netherlands_tv_input,C2_Exploitation,10,1405,3.912,False
netherlands_tv_input,C3_Exploration,1,1570,5.715,False
netherlands_tv_input,C3_Exploration,2,1476,3.898,False
netherlands_tv_input,C3_Exploration,3,1565,3.905,False
netherlands_tv_input,C3_Exploration,4,1461,3.639,False
netherlands_tv_input,C3_Exploration,5,1449,3.772,False
netherlands_tv_input,C3_Exploration,6,1494,4.301,False
netherlands_tv_input,C3_Exploration,7,1451,4.151,False
netherlands_tv_input,C3_Exploration,8,1459,3.935,False
netherlands_tv_input,C3_Exploration,9,1598,3.457,False
netherlands_tv_input,C3_Exploration,10,1493,3.545,False
netherlands_tv_input,C4_Balanced,1,1484,2.558,False
netherlands_tv_input,C4_Balanced,2,1462,2.739,False
netherlands_tv_input,C4_Balanced,3,1489,2.783,False
netherlands_tv_input,C4_Balanced,4,1417,2.76,False
netherlands_tv_input,C4_Balanced,5,1503,2.841,False
